date,op,iterations,warmup_iterations,size,min,q1,med,avg,q3,max,busy_spin
2026-01-29,noop,100000,100,0,0.000005245,0.000005722,0.000005722,0.000005763,0.000005722,0.000151396,true
2026-01-30,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010282,0.000010014,0.000561953,false
2026-01-30,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005627,0.000005722,0.000295877,true
2026-01-31,noop,100000,100,0,0.000005245,0.000009775,0.000009775,0.000010081,0.000010014,0.000552177,false
2026-01-31,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005726,0.000005722,0.000576973,true
2026-02-01,noop,100000,100,0,0.000005245,0.000009775,0.000010014,0.000010416,0.000010252,0.000556946,false
2026-02-01,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005679,0.000005722,0.000148535,true
2026-02-02,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010312,0.000010014,0.000550270,false
2026-02-02,noop,100000,100,0,0.000005484,0.000005722,0.000005722,0.000005783,0.000005722,0.000149488,true
2026-02-03,noop,100000,100,0,0.000004768,0.000009298,0.000009537,0.000009758,0.000009537,0.000561953,false
2026-02-03,noop,100000,100,0,0.000004530,0.000004768,0.000005007,0.000004988,0.000005007,0.000565052,true
2026-02-05,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010296,0.000010014,0.000164032,false
2026-02-05,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005659,0.000005722,0.000545740,true
2026-02-07,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010289,0.000010252,0.000552893,false
2026-02-07,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005679,0.000005722,0.000572205,true
2026-02-08,noop,100000,100,0,0.000006676,0.000015020,0.000015736,0.000017140,0.000019550,0.000812292,false
2026-02-08,noop,100000,100,0,0.000005960,0.000007153,0.000007153,0.000007218,0.000007391,0.000545979,true
2026-02-10,noop,100000,100,0,0.000005245,0.000009775,0.000009775,0.000010050,0.000009775,0.000557184,false
2026-02-10,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005633,0.000005722,0.000579834,true
2026-02-11,noop,100000,100,0,0.000005245,0.000009775,0.000010014,0.000010849,0.000010252,0.000545979,false
2026-02-11,noop,100000,100,0,0.000004530,0.000004768,0.000005007,0.000005009,0.000005007,0.000540495,true
2026-02-12,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010420,0.000010014,0.000565529,false
2026-02-12,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005689,0.000005722,0.000552893,true
2026-02-13,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010372,0.000010252,0.000543356,false
2026-02-13,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005683,0.000005722,0.000532866,true
2026-02-14,noop,100000,100,0,0.000005245,0.000010252,0.000010252,0.000010490,0.000010252,0.000539541,false
2026-02-14,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005674,0.000005722,0.000611544,true
2026-02-15,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010300,0.000010252,0.000566244,false
2026-02-15,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005691,0.000005722,0.000557899,true
2026-02-16,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010368,0.000010014,0.000535727,false
2026-02-16,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005677,0.000005722,0.000545263,true
2026-02-17,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010449,0.000010252,0.000586033,false
2026-02-17,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005661,0.000005722,0.000626326,true
2026-02-18,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010261,0.000010014,0.000537395,false
2026-02-18,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005649,0.000005722,0.000563145,true
2026-02-19,noop,100000,100,0,0.000005245,0.000009775,0.000009775,0.000010154,0.000010014,0.000561237,false
2026-02-19,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005663,0.000005722,0.000586987,true
2026-02-20,noop,100000,100,0,0.000005245,0.000009775,0.000010014,0.000010248,0.000010252,0.000544548,false
2026-02-20,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005700,0.000005722,0.000152111,true
2026-02-21,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010265,0.000010014,0.000554562,false
2026-02-21,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005635,0.000005722,0.000552893,true
2026-02-22,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010374,0.000010252,0.000599384,false
2026-02-22,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005701,0.000005722,0.000587225,true
2026-02-23,noop,100000,100,0,0.000005245,0.000010014,0.000010014,0.000010270,0.000010014,0.000325680,false
2026-02-23,noop,100000,100,0,0.000005245,0.000005484,0.000005484,0.000005633,0.000005722,0.000576496,true
2026-02-24,noop,100000,100,0,0.000004768,0.000009298,0.000009298,0.000009668,0.000009537,0.000556946,false
2026-02-24,noop,100000,100,0,0.000005245,0.000005484,0.000005722,0.000005697,0.000005722,0.000560760,true
